class_name,topic,word,meaning,romaji,ex,trans,image_url
n5_kit_naifu,dodung,ナイフ,dao,naifu,ナイフで切る。,Cắt bằng dao.,https://source.unsplash.com/featured/400x400?knife
n5_kit_sara,dodung,皿,đĩa,sara,皿を洗う。,Rửa đĩa.,https://source.unsplash.com/featured/400x400?plate
n5_kit_shoyu,giavi,醤油,nước tương,shouyu,醤油をつける。,Chấm nước tương.,https://source.unsplash.com/featured/400x400?soy+sauce
n5_food_bi-ru,doan,ビール,bia,bīru,冷たいビール。,Bia lạnh.,https://source.unsplash.com/featured/400x400?beer
n5_food_butaniku,thit,豚肉,thịt lợn,butaniku,豚肉を買う。,Mua thịt lợn.,https://source.unsplash.com/featured/400x400?pork
n5_food_gohan,doan,ごはん,cơm,gohan,朝ごはんを食べる。,Ăn sáng.,https://source.unsplash.com/featured/400x400?rice
n5_food_gyuniku,thit,牛肉,thịt bò,gyuuniku,牛肉が好きだ。,Thích thịt bò.,https://source.unsplash.com/featured/400x400?beef
n5_food_gyunyu,doan,牛乳,sữa bò,gyunyu,牛乳を買う。,Mua sữa.,https://source.unsplash.com/featured/400x400?milk
n5_food_ju-su,doan,ジュース,nước trái cây,jūsu,オレンジジュース。,Nước cam.,https://source.unsplash.com/featured/400x400?juice
n5_food_kocha,doan,紅茶,trà đen,koucha,紅茶に砂糖を入れる。,Cho đường vào trà.,https://source.unsplash.com/featured/400x400?black+tea
n5_food_ko-hi,doan,コーヒー,cà phê,kōhī,コーヒーを飲む。,Uống cà phê.,https://source.unsplash.com/featured/400x400?coffee
n5_food_kome,luongthuc,米,gạo,kome,米を洗う。,Vo gạo.,https://source.unsplash.com/featured/400x400?rice+grain
n5_food_mizu,doan,水,nước,mizu,水をください。,Cho tôi nước.,https://source.unsplash.com/featured/400x400?water
n5_food_niku,doan,肉,thịt,niku,肉が食べたい。,Muốn ăn thịt.,https://source.unsplash.com/featured/400x400?meat
n5_food_nomimono,doan,飲み物,đồ uống,nomimono,冷たい飲み物。,Đồ uống lạnh.,https://source.unsplash.com/featured/400x400?drink
n5_food_osake,doan,お酒,rượu,osake,お酒はあまり飲まない。,Không uống rượu lắm.,https://source.unsplash.com/featured/400x400?alcohol
n5_food_pan,dovat,パン,bánh mì,pan,パンを焼く。,Nướng bánh mì.,https://source.unsplash.com/featured/400x400?bread
n5_food_ringo,doan,りんご,táo,ringo,りんごを剥く。,Gọt táo.,https://source.unsplash.com/featured/400x400?apple
n5_food_sakana,doan,魚,cá,sakana,魚が好きです。,Thích cá.,https://source.unsplash.com/featured/400x400?fish
n5_food_sarada,doan,サラダ,sa lát,sarada,サラダを作る。,Làm salad.,https://source.unsplash.com/featured/400x400?salad
n5_food_satou,doan,砂糖,đường,satou,砂糖を入れる。,Cho đường.,https://source.unsplash.com/featured/400x400?sugar
n5_food_tamago,doan,卵,trứng,tamago,卵を焼く。,Rán trứng.,https://source.unsplash.com/featured/400x400?egg
n5_food_tomato,rau,トマト,cà chua,tomato,赤いトマト。,Cà chua đỏ.,https://source.unsplash.com/featured/400x400?tomato
n5_food_toriniku,thit,鶏肉,thịt gà,toriniku,鶏肉を焼く。,Nướng thịt gà.,https://source.unsplash.com/featured/400x400?chicken
n5_food_yasai,doan,野菜,rau,yasai,野菜をたくさん食べる。,Ăn nhiều rau.,https://source.unsplash.com/featured/400x400?vegetable
n5_food_okashi,doan,お菓子,bánh kẹo,okashi,お菓子を食べ過ぎた。,Ăn quá nhiều bánh kẹo.,https://source.unsplash.com/featured/400x400?candy
n5_food_kudamono,doan,果物,trái cây,kudamono,果物が好きです。,Thích trái cây.,https://source.unsplash.com/featured/400x400?fruit
n5_food_tabemono,doan,食べ物,đồ ăn,tabemono,食べ物を探している。,Đang tìm đồ ăn.,https://source.unsplash.com/featured/400x400?food
n5_food_banana,doan,バナナ,chuối,banana,バナナを一本食べる。,Ăn một quả chuối.,https://source.unsplash.com/featured/400x400?banana
n5_food_mikan,doan,みかん,quýt,mikan,みかんを剥く。,Bóc quýt.,https://source.unsplash.com/featured/400x400?mandarin
n5_food_budou,doan,葡萄,nho,budou,葡萄は甘い。,Nho ngọt.,https://source.unsplash.com/featured/400x400?grape
n5_food_ichigo,doan,苺,dâu tây,ichigo,苺が大好きだ。,Rất thích dâu.,https://source.unsplash.com/featured/400x400?strawberry
n5_food_suika,doan,西瓜,dưa hấu,suika,夏は西瓜が美味しい。,Dưa hấu ngon mùa hè.,https://source.unsplash.com/featured/400x400?watermelon
n5_food_jagaimo,rau,じゃがいも,khoai tây,jagaimo,じゃがいもを茹でる。,Luộc khoai tây.,https://source.unsplash.com/featured/400x400?potato
n5_food_kyabetsu,rau,キャベツ,bắp cải,kyabetsu,キャベツを切る。,Thái bắp cải.,https://source.unsplash.com/featured/400x400?cabbage
n5_food_ninjin,rau,人参,cà rốt,ninjin,人参を食べる。,Ăn cà rốt.,https://source.unsplash.com/featured/400x400?carrot
n5_food_tamaneghi,rau,玉ねぎ,hành tây,tamanegi,玉ねぎは辛い。,Hành tây cay.,https://source.unsplash.com/featured/400x400?onion
n5_food_ninniku,rau,大蒜,tỏi,ninniku,大蒜をみじん切りにする。,Băm tỏi.,https://source.unsplash.com/featured/400x400?garlic
n5_food_piman,rau,ピーマン,ớt xanh,piman,ピーマンは嫌いだ。,Ghét ớt xanh.,https://source.unsplash.com/featured/400x400?green+pepper
n5_food_hourensou,rau,ほうれん草,rau chân vịt,hourensou,ほうれん草は鉄分が多い。,Rau chân vịt nhiều sắt.,https://source.unsplash.com/featured/400x400?spinach
n5_ani_buta,dongvat,豚,con lợn,buta,豚肉を食べる。,Ăn thịt lợn.,https://source.unsplash.com/featured/400x400?pig
n5_ani_inu,dongvat,犬,con chó,inu,犬が吠える。,Chó sủa.,https://source.unsplash.com/featured/400x400?dog
n5_ani_neko,dongvat,猫,con mèo,neko,猫が寝ている。,Mèo ngủ.,https://source.unsplash.com/featured/400x400?cat
n5_ani_saru,dongvat,猿,con khỉ,saru,猿は山にいる。,Khỉ ở núi.,https://source.unsplash.com/featured/400x400?monkey
n5_ani_tori,dongvat,鳥,con chim,tori,鳥が飛んでいる。,Chim bay.,https://source.unsplash.com/featured/400x400?bird
n5_ani_uma,dongvat,馬,con ngựa,uma,馬に乗る。,Cưỡi ngựa.,https://source.unsplash.com/featured/400x400?horse
n5_ani_ushi,dongvat,牛,con bò,ushi,牛のミルク。,Sữa bò.,https://source.unsplash.com/featured/400x400?cow
n5_ani_zou,dongvat,象,con voi,zou,象は鼻が長い。,Voi vòi dài.,https://source.unsplash.com/featured/400x400?elephant
n5_ani_kame,dongvat,亀,con rùa,kame,亀は遅い。,Rùa chậm.,https://source.unsplash.com/featured/400x400?turtle
n5_ani_kuma,dongvat,熊,con gấu,kuma,熊が怖い。,Gấu đáng sợ.,https://source.unsplash.com/featured/400x400?bear
n5_ani_kirin,dongvat,麒麟,hươu cao cổ,kirin,キリンは首が長い。,Hươu cao cổ cổ dài.,https://source.unsplash.com/featured/400x400?giraffe
n5_ani_nezumi,dongvat,鼠,con chuột,nezumi,鼠が怖い。,Sợ chuột.,https://source.unsplash.com/featured/400x400?mouse
n5_ani_tonbo,dongvat,蜻蛉,chuồn chuồn,tonbo,トンボが飛んでいる。,Chuồn chuồn bay.,https://source.unsplash.com/featured/400x400?dragonfly
n5_nat_ame,thoitiet,雨,mưa,ame,雨が降っている。,Trời mưa.,https://source.unsplash.com/featured/400x400?rain
n5_nat_fuyu,mua,冬,mùa đông,fuyu,冬は雪が降る。,Đông có tuyết.,https://source.unsplash.com/featured/400x400?winter
n5_nat_hana,thiennhien,花,hoa,hana,花が咲く。,Hoa nở.,https://source.unsplash.com/featured/400x400?flower
n5_nat_hare,thoitiet,晴れ,nắng,hare,明日は晴れだ。,Mai nắng.,https://source.unsplash.com/featured/400x400?sunny
n5_nat_haru,mua,春,mùa xuân,haru,春は花が咲く。,Xuân hoa nở.,https://source.unsplash.com/featured/400x400?spring
n5_nat_hoshi,thiennhien,星,ngôi sao,hoshi,星が綺麗だ。,Sao đẹp.,https://source.unsplash.com/featured/400x400?star
n5_nat_ike,thiennhien,池,cái ao,ike,池に魚がいる。,Ao có cá.,https://source.unsplash.com/featured/400x400?pond
n5_nat_kawa,thiennhien,川,sông,kawa,川で泳ぐ。,Bơi sông.,https://source.unsplash.com/featured/400x400?river
n5_nat_kaze,thoitiet,風,gió,kaze,風が強い。,Gió mạnh.,https://source.unsplash.com/featured/400x400?wind
n5_nat_mori,thiennhien,森,rừng,mori,森を歩く。,Đi bộ trong rừng.,https://source.unsplash.com/featured/400x400?forest
n5_nat_natsu,mua,夏,mùa hè,natsu,夏はとても暑い。,Hè rất nóng.,https://source.unsplash.com/featured/400x400?summer
n5_nat_sora,thiennhien,空,bầu trời,sora,空を見上げる。,Nhìn lên trời.,https://source.unsplash.com/featured/400x400?sky
n5_nat_taiyou,thiennhien,太陽,mặt trời,taiyou,太陽が昇る。,Mặt trời mọc.,https://source.unsplash.com/featured/400x400?sun
n5_nat_tenki,thoitiet,天気,thời tiết,tenki,いい天気ですね。,Đẹp trời nhỉ.,https://source.unsplash.com/featured/400x400?weather
n5_nat_tsuki,thiennhien,月,mặt trăng,tsuki,月がきれいだ。,Trăng đẹp.,https://source.unsplash.com/featured/400x400?moon
n5_nat_umi,thiennhien,海,biển,umi,海で泳ぐ。,Bơi biển.,https://source.unsplash.com/featured/400x400?sea
n5_nat_yama,thiennhien,山,núi,yama,富士山に登る。,Leo núi Phú Sĩ.,https://source.unsplash.com/featured/400x400?mountain
n5_nat_yuki,thoitiet,雪,tuyết,yuki,雪が降る。,Tuyết rơi.,https://source.unsplash.com/featured/400x400?snow
n5_nat_sakura,thiennhien,桜,hoa anh đào,sakura,桜が咲く。,Hoa anh đào nở.,https://source.unsplash.com/featured/400x400?cherry+blossom
n5_nat_kaminari,thiennhien,雷,sấm sét,kaminari,雷が鳴る。,Sấm sét kêu.,https://source.unsplash.com/featured/400x400?thunder
n5_nat_hikari,thiennhien,光,ánh sáng,hikari,光が眩しい。,Ánh sáng chói.,https://source.unsplash.com/featured/400x400?light
n5_time_asa,thoigian,朝,sáng,asa,朝ご飯を食べる。,Ăn sáng.,https://source.unsplash.com/featured/400x400?morning
n5_time_ashita,thoigian,明日,mai,ashita,明日は休みだ。,Mai nghỉ.,https://source.unsplash.com/featured/400x400?tomorrow
n5_time_atode,thoigian,後で,sau đó,atode,後で行く。,Lát đi.,https://source.unsplash.com/featured/400x400?later
n5_time_ban,thoigian,晩,tối,ban,晩ご飯。,Cơm tối.,https://source.unsplash.com/featured/400x400?evening
n5_time_ima,thoigian,今,bây giờ,ima,今何時ですか。,Mấy giờ?,https://source.unsplash.com/featured/400x400?now
n5_time_kinou,thoigian,昨日,hôm qua,kinou,昨日は雨だった。,Hôm qua mưa.,https://source.unsplash.com/featured/400x400?yesterday
n5_time_konshuu,thoigian,今週,tuần này,konshuu,今週は忙しい。,Tuần này bận.,https://source.unsplash.com/featured/400x400?this+week
n5_time_kotoshi,thoigian,今年,năm nay,kotoshi,今年は頑張る。,Năm nay cố gắng.,https://source.unsplash.com/featured/400x400?this+year
n5_time_kyonen,thoigian,去年,năm ngoái,kyonen,去年卒業した。,Năm ngoái tốt nghiệp.,https://source.unsplash.com/featured/400x400?last+year
n5_time_kyou,thoigian,今日,hôm nay,kyou,今日は月曜日だ。,Hôm nay thứ two.,https://source.unsplash.com/featured/400x400?today
n5_time_maiasa,thoigian,毎朝,mỗi sáng,maiasa,毎朝コーヒーを飲む。,Mỗi sáng uống cafe.,https://source.unsplash.com/featured/400x400?every+morning
n5_time_maiban,thoigian,毎晩,mỗi tối,maiban,毎晩本を読む。,Mỗi tối đọc sách.,https://source.unsplash.com/featured/400x400?every+night
n5_time_mainichi,thoigian,毎日,mỗi ngày,mainichi,毎日歩く。,Đi bộ mỗi ngày.,https://source.unsplash.com/featured/400x400?every+day
n5_time_mukashi,thoigian,昔,ngày xưa,mukashi,昔住んでいた。,Xưa từng sống.,https://source.unsplash.com/featured/400x400?old+days
n5_time_rainen,thoigian,来年,năm sau,rainen,来年帰る。,Năm sau về.,https://source.unsplash.com/featured/400x400?next+year
n5_time_raishuu,thoigian,来週,tuần sau,raishuu,来週会いましょう。,Tuần sau gặp.,https://source.unsplash.com/featured/400x400?next+week
n5_time_saikin,thoigian,最近,gần đây,saikin,最近忙しい。,Dạo này bận.,https://source.unsplash.com/featured/400x400?recently
n5_time_saki,thoigian,先に,trước,saki,お先に失礼します。,Xin phép về trước.,https://source.unsplash.com/featured/400x400?before
n5_time_senshuu,thoigian,先週,tuần trước,senshuu,先週日本へ行った。,Tuần trước đi Nhật.,https://source.unsplash.com/featured/400x400?last+week
n5_time_yoru,thoigian,夜,đêm,yoru,夜は暗い。,Đêm tối.,https://source.unsplash.com/featured/400x400?night
n5_time_yuugata,thoigian,夕方,chiều tối,yuugata,夕方に帰る。,Về chiều tối.,https://source.unsplash.com/featured/400x400?evening
n5_time_gozen,thoigian,午前,sáng (trước 12h),gozen,午前中に仕事をする。,Làm việc buổi sáng.,https://source.unsplash.com/featured/400x400?morning
n5_time_gogo,thoigian,午後,chiều (sau 12h),gogo,午後3時に会いましょう。,Hẹn 3h chiều.,https://source.unsplash.com/featured/400x400?afternoon
n5_time_kesa,thoigian,今朝,sáng nay,kesa,今朝新聞を読んだ。,Sáng nay đọc báo.,https://source.unsplash.com/featured/400x400?this+morning
n5_time_konban,thoigian,今晩,tối nay,konban,今晩は何をしますか。,Tối nay làm gì?,https://source.unsplash.com/featured/400x400?tonight
n5_time_ototoi,thoigian,一昨日,hôm kia,ototoi,一昨日は雨だった。,Hôm kia mưa.,https://source.unsplash.com/featured/400x400?day+before+yesterday
n5_time_asatte,thoigian,明後日,ngày kia,asatte,明後日は試験だ。,Ngày kia thi.,https://source.unsplash.com/featured/400x400?day+after+tomorrow
n5_time_maishuu,thoigian,毎週,mỗi tuần,maishuu,毎週映画を見に行く。,Mỗi tuần đi xem phim.,https://source.unsplash.com/featured/400x400?every+week
n5_time_maitsuki,thoigian,毎月,mỗi tháng,maitsuki,毎月本を買う。,Mỗi tháng mua sách.,https://source.unsplash.com/featured/400x400?every+month
n5_time_mainen,thoigian,毎年,mỗi năm,mainen,毎年旅行する。,Mỗi năm đi du lịch.,https://source.unsplash.com/featured/400x400?every+year
n5_time_sengetsu,thoigian,先月,tháng trước,sengetsu,先月引っ越した。,Tháng trước chuyển nhà.,https://source.unsplash.com/featured/400x400?last+month
n5_time_raigetsu,thoigian,来月,tháng sau,raigetsu,来月から仕事を始める。,Tháng sau bắt đầu việc.,https://source.unsplash.com/featured/400x400?next+month
n5_time_sarainen,thoigian,再来年,năm sau nữa,sarainen,再来年卒業する。,Năm sau nữa tốt nghiệp.,https://source.unsplash.com/featured/400x400?year+after+next
n5_time_ototoshi,thoigian,一昨年,năm kia,ototoshi,一昨年日本に行った。,Năm kia đi Nhật.,https://source.unsplash.com/featured/400x400?two+years+ago
n5_time_kon_ya,thoigian,今夜,tối nay,kon'ya,今夜は星がきれいだ。,Tối nay trời đẹp.,https://source.unsplash.com/featured/400x400?tonight
n5_time_ichinichi,thoigian,一日,một ngày,ichinichi,一日中家にいた。,Ở nhà cả ngày.,https://source.unsplash.com/featured/400x400?one+day
n5_time_tsuitachi,thoigian,一日,ngày mồng một,tsuitachi,明日は四月一日です。,Mai là mồng một tháng 4.,https://source.unsplash.com/featured/400x400?first+day
n5_mon_gogatsu,thoigian,五月,tháng 5,gogatsu,五月は晴れが多い。,Tháng 5 nhiều nắng.,https://source.unsplash.com/featured/400x400?may
n5_tim_natsuyasumi,thoigian,夏休み,nghỉ hè,natsuyasumi,夏休みは長い。,Nghỉ hè dài.,https://source.unsplash.com/featured/400x400?summer+vacation
n5_tim_hiruyasumi,thoigian,昼休み,nghỉ trưa,hiruyasumi,昼休みに寝る。,Ngủ trưa.,https://source.unsplash.com/featured/400x400?lunch+break
n5_pos_aida,vitri,間,giữa,aida,AとBの間。,Giữa A và B.,https://source.unsplash.com/featured/400x400?between
n5_pos_chikaku,vitri,近く,gần,chikaku,学校の近く。,Gần trường.,https://source.unsplash.com/featured/400x400?near
n5_pos_hidari,vitri,左,trái,hidari,左を見てください。,Nhìn sang trái.,https://source.unsplash.com/featured/400x400?left
n5_pos_mae,vitri,前,trước,mae,駅の前で会う。,Gặp trước ga.,https://source.unsplash.com/featured/400x400?front
n5_pos_migi,vitri,右,phải,migi,右に曲がる。,Rẽ phải.,https://source.unsplash.com/featured/400x400?right
n5_pos_naka,vitri,中,trong,naka,箱の中。,Trong hộp.,https://source.unsplash.com/featured/400x400?inside
n5_pos_shita,vitri,下,dưới,shita,椅子の下に猫がいる。,Mèo dưới ghế.,https://source.unsplash.com/featured/400x400?under
n5_pos_soto,vitri,外,ngoài,soto,外は寒い。,Ngoài lạnh.,https://source.unsplash.com/featured/400x400?outside
n5_pos_tonari,vitri,隣,bên cạnh,tonari,隣の部屋。,Phòng bên cạnh.,https://source.unsplash.com/featured/400x400?next+to
n5_pos_ue,vitri,上,trên,ue,机の上に本がある。,Sách trên bàn.,https://source.unsplash.com/featured/400x400?on
n5_pos_ushiro,vitri,後ろ,sau,ushiro,車の後ろ。,Sau xe.,https://source.unsplash.com/featured/400x400?behind
n5_dir_higashi,huong,東,phía Đông,higashi,東から昇る。,Mọc từ Đông.,https://source.unsplash.com/featured/400x400?east
n5_dir_mannaka,huong,真ん中,chính giữa,mannaka,町の真ん中。,Giữa thị trấn.,https://source.unsplash.com/featured/400x400?center
n5_dir_minami,huong,南,phía Nam,minami,南の島。,Đảo phía Nam.,https://source.unsplash.com/featured/400x400?south
n5_dir_nishi,huong,西,phía Tây,nishi,西に沈む。,Lặn Tây.,https://source.unsplash.com/featured/400x400?west
n5_dir_kita,huong,北,phía Bắc,kita,北の風。,Gió Bắc.,https://source.unsplash.com/featured/400x400?north
n5_plc_byouin,diadiem,病院,bệnh viện,byouin,病院はどこですか。,BV ở đâu?,https://source.unsplash.com/featured/400x400?hospital
n5_place_depato,diadiem,デパート,TT thương mại,depato,デパートで買い物。,Mua sắm ở mall.,https://source.unsplash.com/featured/400x400?department+store
n5_plc_eishakan,diadiem,映画館,rạp phim,eigakan,映画館へ行く。,Đi rạp phim.,https://source.unsplash.com/featured/400x400?cinema
n5_place_gakkou,diadiem,学校,trường học,gakkou,学校へ行く。,Đi học.,https://source.unsplash.com/featured/400x400?school
n5_place_ginkou,diadiem,銀行,ngân hàng,ginkou,銀行でお金を出す。,Rút tiền ngân hàng.,https://source.unsplash.com/featured/400x400?bank
n5_place_honya,diadiem,本屋,hiệu sách,honya,本屋で本を買う。,Mua sách ở hiệu sách.,https://source.unsplash.com/featured/400x400?bookstore
n5_cit_machi,thanhpho,町,thành phố/thị trấn,machi,賑やかな町。,Phố náo nhiệt.,https://source.unsplash.com/featured/400x400?city+town
n5_cit_mise,thanhpho,店,cửa hàng,mise,店に入る。,Vào cửa hàng.,https://source.unsplash.com/featured/400x400?shop
n5_cit_mura,thanhpho,村,làng,mura,静かな村。,Làng yên tĩnh.,https://source.unsplash.com/featured/400x400?village
n5_place_toshokan,diadiem,図書館,thư viện,toshokan,図書館で勉強。,Học ở thư viện.,https://source.unsplash.com/featured/400x400?library
n5_place_kouen,diadiem,公園,công viên,kouen,公園で遊ぶ。,Chơi công viên.,https://source.unsplash.com/featured/400x400?park
n5_place_yubinkyoku,diadiem,郵便局,bưu điện,yuubinkyoku,郵便局へ行く。,Đi bưu điện.,https://source.unsplash.com/featured/400x400?post+office
n5_cit_kouba,thanhpho,工場,nhà máy,kouba,工場で働く。,Làm nhà máy.,https://source.unsplash.com/featured/400x400?factory
n5_cit_kousaten,thanhpho,交差点,ngã tư,kousaten,交差点を曲がる。,Rẽ ngã tư.,https://source.unsplash.com/featured/400x400?intersection
n5_cit_michi,thanhpho,道,con đường,michi,道を歩く。,Đi bộ trên đường.,https://source.unsplash.com/featured/400x400?road
n5_cit_hashi,thanhpho,橋,cầu,hashi,橋を渡る。,Qua cầu.,https://source.unsplash.com/featured/400x400?bridge
n5_tra_basu,giaothong,バス,xe buýt,basu,バスを待つ。,Đợi xe buýt.,https://source.unsplash.com/featured/400x400?bus
n5_tra_densha,giaothong,電車,tàu điện,densha,電車で行く。,Đi tàu điện.,https://source.unsplash.com/featured/400x400?train
n5_tra_eki,giaothong,駅,ga,eki,駅で会いましょう。,Gặp ở ga.,https://source.unsplash.com/featured/400x400?station
n5_tra_fune,giaothong,船,thuyền,fune,船に乗る。,Lên thuyền.,https://source.unsplash.com/featured/400x400?boat
n5_tra_jitensha,giaothong,自転車,xe đạp,jitensha,自転車に乗る。,Đi xe đạp.,https://source.unsplash.com/featured/400x400?bicycle
n5_tra_kuruma,giaothong,車,ô tô,kuruma,車を運転する。,Lái ô tô.,https://source.unsplash.com/featured/400x400?car
n5_tra_kuukou,giaothong,空港,sân bay,kuukou,空港は遠い。,Sân bay xa.,https://source.unsplash.com/featured/400x400?airport
n5_tra_takushi,giaothong,タクシー,taxi,takushi,タクシーを呼ぶ。,Gọi taxi.,https://source.unsplash.com/featured/400x400?taxi
n5_edu_bunbougu,hoc tap,文房具,văn phòng phẩm,bunbougu,文房具屋。,Cửa hàng văn phòng phẩm.,https://source.unsplash.com/featured/400x400?stationery
n5_edu_enpitsu,hoc tap,鉛筆,bút chì,enpitsu,鉛筆を削る。,Gọt bút chì.,https://source.unsplash.com/featured/400x400?pencil
n5_edu_fudebako,hoc tap,筆箱,hộp bút,fudebako,筆箱を忘れた。,Quên hộp bút.,https://source.unsplash.com/featured/400x400?pencil+case
n5_job_gakusei,nghenghiep,学生,sinh viên,gakusei,私は学生です。,Tôi là sinh viên.,https://source.unsplash.com/featured/400x400?student
n5_edu_kyoushitsu,truonghoc,教室,lớp học,kyoushitsu,教室に入る。,Vào lớp.,https://source.unsplash.com/featured/400x400?classroom
n5_obj_kyoukasho,dovat,教科書,sách giáo khoa,kyoukasho,教科書を開く。,Mở SGK.,https://source.unsplash.com/featured/400x400?textbook
n5_edu_monosashi,hoc tap,物差し,thước kẻ,monosashi,物差しで測る。,Đo bằng thước.,https://source.unsplash.com/featured/400x400?ruler
n5_obj_noto,dovat,ノート,vở,noto,ノートに書く。,Viết vào vở.,https://source.unsplash.com/featured/400x400?notebook
n5_kat_pe-ji,giaoduc,ページ,trang sách,pēji,ページを開く。,Mở trang.,https://source.unsplash.com/featured/400x400?page
n5_job_sensei,nghenghiep,先生,giáo viên,sensei,先生に聞く。,Hỏi giáo viên.,https://source.unsplash.com/featured/400x400?teacher
n5_edu_shiken,truonghoc,試験,kỳ thi,shiken,試験は明日だ。,Thi ngày mai.,https://source.unsplash.com/featured/400x400?exam
n5_edu_techo,hoc tap,手帳,sổ tay,techou,手帳に書く。,Viết vào sổ tay.,https://source.unsplash.com/featured/400x400?notebook
n5_mis_test,khac,テスト,bài kiểm tra,tesuto,テストは難しい。,Kiểm tra khó.,https://source.unsplash.com/featured/400x400?test
n5_edu_enshitsu,truonghoc,演習室,phòng thực hành,enshitsu,演習室で勉強する。,Học trong phòng thực hành.,https://source.unsplash.com/featured/400x400?practice+room
n5_it_botan,it,ボタン,nút bấm,botan,ボタンを押す。,Ấn nút.,https://source.unsplash.com/featured/400x400?button
n5_it_deta,it,データ,dữ liệu,dēta,データを保存する。,Lưu dữ liệu.,https://source.unsplash.com/featured/400x400?data
n5_tech_eakon,dovat,エアコン,máy lạnh,eakon,エアコンをつける。,Bật máy lạnh.,https://source.unsplash.com/featured/400x400?air+conditioner
n5_kat_erebe-ta-,dovat,エレベーター,thang máy,erebētā,エレベーターに乗る。,Đi thang máy.,https://source.unsplash.com/featured/400x400?elevator
n5_kat_esu-kare-ta-,dovat,エスカレーター,thang cuốn,esukarētā,エスカレーターを使う。,Dùng thang cuốn.,https://source.unsplash.com/featured/400x400?escalator
n5_tech_kamera,dovat,カメラ,máy ảnh,kamera,カメラを貸して。,Cho mượn máy ảnh.,https://source.unsplash.com/featured/400x400?camera
n5_it_ki-bo-do,it,キーボード,bàn phím,kībōdo,キーボードを叩く。,Gõ bàn phím.,https://source.unsplash.com/featured/400x400?keyboard
n5_it_mausu,it,マウス,chuột máy tính,mausu,マウスを使う。,Dùng chuột.,https://source.unsplash.com/featured/400x400?mouse
n5_it_me-ru,it,メール,email,mēru,メールを送る。,Gửi email.,https://source.unsplash.com/featured/400x400?email
n5_it_puroguramu,it,プログラム,chương trình,puroguramu,プログラムを書く。,Viết chương trình.,https://source.unsplash.com/featured/400x400?program
n5_tech_rajio,dovat,ラジオ,radio,rajio,ラジオを聴く。,Nghe radio.,https://source.unsplash.com/featured/400x400?radio
n5_it_saite,it,サイト,trang web,saito,ウェブサイトを見る。,Xem web.,https://source.unsplash.com/featured/400x400?website
n5_it_sofuto,it,ソフト,phần mềm,sofuto,新しいソフト。,Phần mềm mới.,https://source.unsplash.com/featured/400x400?software
n5_tech_sumaho,dovat,スマホ,smartphone,sumaho,スマホで撮る。,Chụp bằng smartphone.,https://source.unsplash.com/featured/400x400?smartphone
n5_tech_stobu,dovat,ストーブ,lò sưởi,sutōbu,ストーブを出す。,Lấy lò sưởi.,https://source.unsplash.com/featured/400x400?stove
n5_cloth_boushi,phukien,帽子,mũ,boushi,帽子をかぶる。,Đội mũ.,https://source.unsplash.com/featured/400x400?hat
n5_cloth_fuku,quanao,服,quần áo,fuku,服を着る。,Mặc quần áo.,https://source.unsplash.com/featured/400x400?clothes
n5_obj_ko-to,quanao,コート,áo khoác,kōto,コートを着る。,Mặc áo khoác.,https://source.unsplash.com/featured/400x400?coat
n5_cloth_kutsushita,quanao,靴下,tất,kutsushita,靴下を履く。,Đi tất.,https://source.unsplash.com/featured/400x400?socks
n5_obj_nekutai,quanao,ネクタイ,cà vạt,nekutai,ネクタイを締める。,Thắt cà vạt.,https://source.unsplash.com/featured/400x400?tie
n5_obj_se-ta-,quanao,セーター,áo len,sētā,赤いセーター。,Áo len đỏ.,https://source.unsplash.com/featured/400x400?sweater
n5_cloth_shatsu,quanao,シャツ,áo sơ mi,shatsu,白いシャツ。,Sơ mi trắng.,https://source.unsplash.com/featured/400x400?shirt
n5_kat_suka-to,quanao,スカート,váy,sukāto,長いスカート。,Váy dài.,https://source.unsplash.com/featured/400x400?skirt
n5_cloth_zubon,quanao,ズボン,quần dài,zubon,ズボンをはく。,Mặc quần.,https://source.unsplash.com/featured/400x400?pants
n5_kat_pajiama,quanao,パジャマ,đồ ngủ,pajiama,パジャマを着る。,Mặc đồ ngủ.,https://source.unsplash.com/featured/400x400?pajamas
n5_kat_panti,quanao,パンティ,quần lót,panti,新しいパンティ。,Quần lót mới.,https://source.unsplash.com/featured/400x400?underwear
n5_cloth_uwagi,quanao,上着,áo khoác ngoài,uwagi,上着を脱ぐ。,Cởi áo khoác.,https://source.unsplash.com/featured/400x400?jacket
n5_cloth_kutsu,quanao,靴,giày,kutsu,靴を履く。,Đi giày.,https://source.unsplash.com/featured/400x400?shoes
n5_cloth_megane,quanao,眼鏡,kính mắt,megane,眼鏡をかける。,Đeo kính.,https://source.unsplash.com/featured/400x400?glasses
n5_obj_tebukuro,phukien,手袋,găng tay,tebukuro,手袋をはめる。,Đeo găng tay.,https://source.unsplash.com/featured/400x400?gloves
n5_obj_tokei,phukien,時計,đồng hồ,tokei,時計を見る。,Xem đồng hồ.,https://source.unsplash.com/featured/400x400?watch
n5_obj_hankachi,phukien,ハンカチ,khăn tay,hankachi,ハンカチを持つ。,Mang khăn tay.,https://source.unsplash.com/featured/400x400?handkerchief
n5_body_hana,cothe,鼻,mũi,hana,鼻が高い。,Mũi cao.,https://source.unsplash.com/featured/400x400?nose
